step,type,value,line
1,VARTYPE,int
2,IDENTIFIER,e
3,BORDER,;
4,VARTYPE,int
5,IDENTIFIER,d
6,BORDER,;
7,VARTYPE,int
8,IDENTIFIER,program
9,BORDER,(
10,VARTYPE,int
11,IDENTIFIER,a
12,BORDER,£¬
13,VARTYPE,int
14,IDENTIFIER,b
15,BORDER,£¬
16,VARTYPE,int
17,IDENTIFIER,c
18,BORDER,)
19,BORDER,{
20,VARTYPE,int
21,IDENTIFIER,i
22,BORDER,;
23,VARTYPE,int
24,IDENTIFIER,j
25,BORDER,;
26,IDENTIFIER,e
27,OPERATOR,=
28,INT,4
29,BORDER,;
30,IDENTIFIER,d
31,OPERATOR,=
32,INT,5
33,BORDER,;
34,IDENTIFIER,i
35,OPERATOR,=
36,INT,0
37,BORDER,;
38,IDENTIFIER,j
39,OPERATOR,=
40,IDENTIFIER,d
41,OPERATOR,+
42,IDENTIFIER,e
43,BORDER,;
44,KEYWARD,if
45,BORDER,(
46,IDENTIFIER,a
47,OPERATOR,>
48,BORDER,(
49,IDENTIFIER,b
50,OPERATOR,+
51,IDENTIFIER,c
52,BORDER,)
53,BORDER,)
54,BORDER,{
55,IDENTIFIER,j
56,OPERATOR,=
57,IDENTIFIER,a
58,OPERATOR,+
59,BORDER,(
60,IDENTIFIER,b
61,OPERATOR,*
62,IDENTIFIER,c
63,OPERATOR,+
64,INT,1
65,BORDER,)
66,BORDER,;
67,BORDER,}
68,KEYWARD,else
69,BORDER,{
70,IDENTIFIER,j
71,OPERATOR,=
72,IDENTIFIER,a
73,BORDER,;
74,BORDER,}
75,KEYWARD,while
76,BORDER,(
77,IDENTIFIER,i
78,OPERATOR,<=
79,INT,100
80,BORDER,)
81,BORDER,{
82,IDENTIFIER,i
83,OPERATOR,=
84,IDENTIFIER,j
85,OPERATOR,*
86,INT,2
87,BORDER,;
88,BORDER,}
89,KEYWARD,return
90,IDENTIFIER,i
91,BORDER,;
92,BORDER,}
93,VARTYPE,int
94,IDENTIFIER,demo
95,BORDER,(
96,VARTYPE,int
97,IDENTIFIER,a
98,BORDER,)
99,BORDER,{
100,IDENTIFIER,a
101,OPERATOR,=
102,IDENTIFIER,a
103,OPERATOR,+
104,INT,2
105,BORDER,;
106,KEYWARD,return
107,IDENTIFIER,a
108,OPERATOR,*
109,INT,2
110,BORDER,;
111,BORDER,}
112,VARTYPE,void
113,IDENTIFIER,main
114,BORDER,(
115,VARTYPE,void
116,BORDER,)
117,BORDER,{
118,VARTYPE,int
119,IDENTIFIER,a
120,BORDER,;
121,VARTYPE,int
122,IDENTIFIER,b
123,BORDER,;
124,VARTYPE,int
125,IDENTIFIER,c
126,BORDER,;
127,IDENTIFIER,a
128,OPERATOR,=
129,INT,3
130,BORDER,;
131,IDENTIFIER,b
132,OPERATOR,=
133,INT,4
134,BORDER,;
135,IDENTIFIER,c
136,OPERATOR,=
137,INT,2
138,BORDER,;
139,IDENTIFIER,a
140,OPERATOR,=
141,IDENTIFIER,program
142,BORDER,(
143,IDENTIFIER,a
144,BORDER,£¬
145,IDENTIFIER,b
146,BORDER,£¬
147,IDENTIFIER,demo
148,BORDER,(
149,IDENTIFIER,c
150,BORDER,)
151,BORDER,)
152,BORDER,;
153,KEYWARD,return
154,BORDER,;
155,BORDER,}
